SampleID	Cruise	depth	lat	long	temperature	salinity	knorr_cruise_id	station_id	time	cocco_rel_conc	diat_rel_conc	diaz_rel_conc	mixo_rel_conc	pico_eu_rel_conc	pico_pro_rel_conc	brown algae 	cocco	diat	diaz	land plants	mixo	nanoplankton	phaeocystis	pico_eu	picopro	red_algae	unclassified
S0115	GA03	57.8	39.6924	-69.81342	18.637	35.431999	KN204	1	2011-11-08T10:56:00	0.318358480930328	0.135884940624237	0.066668912768364	0.250013917684555	0.105883419513702	0.123190321028233	0	0.025880436168375	0.180554101739328	0	0	0.256074166976002	0.045062406504928	0.067898085477008	0.305480796759857	0.119050006374502	0	0
S0116	GA03	89.2	39.6924	-69.81342	15.814	36.035	KN204	1	2011-11-08T10:56:00	0.302142918109894	0.274271965026856	0.029161600396037	0.268538326025009	0.06601843982935	0.059866730123758	0	0	0.20639143942852	0	0.001612134705216	0.608213069471575	0.017733481757393	0.02901842469388	0.03869123292521	0.095922014960381	0	0.002418202057825
S0117	GA03	109.9	39.6924	-69.81342	14.399	35.855999	KN204	1	2011-11-08T10:56:00	0.280194312334061	0.284803092479706	0.027181884273887	0.341391175985336	0.038066662847996	0.028362860903144	0	0.134494792466403	0.538874997258252	0	0	0	0.115281250685488	0	0.08325868105053	0.102472222831445	0	0.025618055707881
S0118	GA03	135.4	39.6924	-69.81342	13.526	35.734001	KN204	1	2011-11-08T10:56:00	0.211827307939529	0.266472578048706	0.021977715194225	0.479718178510666	0.012702723033726	0.007301500532776	0	0	0.11419059249324	0	0	0.766505803409421	0.085216860069545	0.018747709215277	0	0.015339034812518	0	0
S0119	GA03	185.8	39.6924	-69.81342	11.805	35.494999	KN204	1	2011-11-08T10:56:00	0.081318691372871	0.141370549798012	0.011747744865716	0.758786082267761	0.003429255913943	0.003347616642714	0	0	0.057847653324444	0	0	0.90448410730151	0.018161472555361	0.016143531160288	0	0	0	0.003363235658397
S0120	GA03	285.9	39.6924	-69.81342	10.032	35.292999	KN204	1	2011-11-08T10:56:00	0.00560129666701	0.023268543183804	0.000754157139454	0.969764053821564	0.00035617640242	0.000255772465607	0	0	0.07986344900192	0	0	0.762758577965247	0.077514524031095	0.023489249706365	0.01409354982386	0.042280649471515	0	0
S0064	GA03	28.4	38.6683	-69.11578	24.514	36.166	KN204	3	2011-11-10T14:23:00	0.300701320171356	0.040144260972738	0.137528643012047	0.157173842191696	0.159145534038544	0.20530641078949	0	0.039787492381561	0.021067935283655	0.001737844494826	0	0.144308888755515	0.018476030944992	0.034025165898714	0.039787983326884	0.699985469416304	0	0.00082318949755
S0065	GA03	61.2	38.6683	-69.11578	24.153	36.339001	KN204	3	2011-11-10T14:23:00	0.292039781808853	0.133077889680862	0.096904799342156	0.171050101518631	0.137937679886818	0.168989807367325	0	0.145518225212904	0.0275109082492	0.002895885078874	0	0.267903243012832	0.04705813253151	0.067329328083589	0.192014189779135	0.249770088051957	0	0
S0066	GA03	86.4	38.6683	-69.11578	23.587	36.679001	KN204	3	2011-11-10T14:23:00	0.289846420288086	0.243621557950973	0.046992979943752	0.200402349233627	0.103369496762753	0.115767180919647	0	0.036564063796679	0.028754263762443	0	0	0.259490302574419	0.01668457280042	0.073483118503998	0.112175785579755	0.47107293842905	0	0.001774954553237
S0067	GA03	108.8	38.6683	-69.11578	21.66	36.749001	KN204	3	2011-11-10T14:23:00	0.293447583913803	0.309682756662369	0.021358799189329	0.245310857892036	0.066705606877804	0.063494302332401	0	0.022060581942416	0.090167703980414	0	0	0.326572031981444	0.027979274658677	0.056496612291528	0.069410123672426	0.407313671473096	0	0
S0068	GA03	135.6	38.6683	-69.11578	20.289	36.762001	KN204	3	2011-11-10T14:23:00	0.272496551275253	0.317473977804184	0.019307954236865	0.329774439334869	0.033789504319429	0.027157623320818	0	0	0.021954596196285	0	0	0.791716676521	0	0.012349460360455	0.027443245245376	0.091934871571957	0	0.054601150104927
S0069	GA03	186.5	38.6683	-69.11578	18.946	36.641998	KN204	3	2011-11-10T14:23:00	0.205943211913109	0.250322461128235	0.019339445978403	0.473160445690155	0.02514143101871	0.026093004271388	0	0	0	0	0	0	0	0	0	1	0	0
S0070	GA03	234.7	38.6683	-69.11578	18.224	36.563999	KN204	3	2011-11-10T14:23:00	0.195517003536224	0.21404841542244	0.020179525017738	0.504409849643707	0.031364370137453	0.034480828791857	0	0	0	0	0.054823069910873	0.945176930089127	0	0	0	0	0	0
S0071	GA03	288.8	38.6683	-69.11578	17.589	36.453999	KN204	3	2011-11-10T14:23:00	0.244666576385498	0.187371596693993	0.025440389290452	0.443732380867004	0.047693151980639	0.051095973700285	0	0	0.166666666666242	0	0	0	0.111111111111099	0.138888888889104	0	0.583333333333554	0	0
S0122	GA03	39.4	38.3269	-68.8696	23.536	36.125999	KN204	4	2011-11-12T14:57:00	0.222511634230614	0.077833347022534	0.157623007893562	0.098523534834385	0.190689370036125	0.252819150686264	0	0.048762680492034	0.013703381014194	0.000711863948789	0	0.093363795196091	0.028830489925958	0.056949115903106	0.157043466729164	0.599389444880284	0.000711863948789	0.000533897961592
S0124	GA03	90.8	38.3269	-68.8696	23.571	36.138	KN204	4	2011-11-12T14:57:00	0.286290317773819	0.217726811766624	0.051628075540066	0.173766806721687	0.119250729680061	0.151337340474129	0	0.028427766986977	0.014466200951952	0	0	0.009984000594387	0.052389368413497	0.06257472969912	0.171422615455772	0.660735317898296	0	0
S0125	GA03	111.1	38.3269	-68.8696	23.745	36.361	KN204	4	2011-11-12T14:57:00	0.308540135622025	0.280104726552963	0.021473655477166	0.222090229392052	0.079539492726326	0.088251613080502	0	0.057351958108263	0.009077288333691	0	0	0.430193855053796	0.010727704394363	0.028469677046546	0.023518428864542	0.4406610881988	0	0
S0129	GA03	285.3	38.3269	-68.8696	18.353	36.584	KN204	4	2011-11-12T14:57:00	0.29264771938324	0.169877961277962	0.03469529747963	0.389336705207825	0.054819986224175	0.058622360229492	0	0.078242493699506	0	0	0	0.896862167396097	0	0	0	0.024895338904397	0	0
S0130	GA03	39.6	37.5954	-68.4046	23.395	35.997002	KN204	6	2011-11-15T06:20:00	0.209814742207527	0.064241707324982	0.178768947720528	0.077378019690514	0.20248731970787	0.267309188842773	0	0.022609224848316	0.027497705896595	0	0	0	0.073931008155668	0.059272832710438	0.413796915326199	0.402892313062785	0	0
S0131	GA03	64.6	37.5954	-68.4046	23.418	36.034	KN204	6	2011-11-15T06:20:00	0.210488945245743	0.064831823110581	0.178300857543945	0.078432060778141	0.201822742819786	0.266123503446579	0	0.030979845973917	0.036934189629077	0	0	0.03554417730851	0.083153259921644	0.080771966104722	0.437919697549719	0.294696863512412	0	0
S0132	GA03	89.6	37.5954	-68.4046	23.463	36.070999	KN204	6	2011-11-15T06:20:00	0.211990207433701	0.066184692084789	0.177138969302177	0.08073453605175	0.200354397296906	0.263597190380096	0	0.019827665584526	0.026088539706579	0	0	0.046991885173861	0.074745248268732	0.049604444505064	0.40559320413029	0.376655085018524	0	0.000493927612426
S0133	GA03	111.1	37.5954	-68.4046	23.458	36.084	KN204	6	2011-11-15T06:20:00	0.329540431499481	0.251910418272018	0.023782256990671	0.213947594165802	0.084459654986858	0.096359699964523	0	0.017290999661087	0.043227499152702	0.00059215752264	0	0.037993056451282	0.02972630763652	0.031265917195389	0.232587307160932	0.606843029201336	0	0.000473726018112
S0134	GA03	139.6	37.5954	-68.4046	20.507	36.155998	KN204	6	2011-11-15T06:20:00	0.327532559633255	0.27433717250824	0.023263592272997	0.248223453760147	0.062938667833805	0.063704527914524	0	0	0.010999992929159	0	0	0.790153981043666	0.012692299533636	0.033846132089748	0.038076898600948	0.114230695802843	0	0
S0135	GA03	160	37.5954	-68.4046	19.819	36.368999	KN204	6	2011-11-15T06:20:00	0.324111074209213	0.274829745292664	0.023976484313607	0.27172976732254	0.0538574680686	0.051495425403118	0	0	0.027222140762026	0	0	0.568334625059425	0	0.110833001673917	0.027222140762026	0.266388091742606	0	0
S0136	GA03	232.9	37.5954	-68.4046	16.073	36.049999	KN204	6	2011-11-15T06:20:00	0.300766795873642	0.221544489264488	0.033140785992146	0.357683897018433	0.04416049271822	0.042703613638878	0	0	0.046608019197262	0	0	0.826523252164432	0.034342750987417	0	0.012265268209814	0.034342750987542	0	0.045917958453534
S0137	GA03	284.7	37.5954	-68.4046	14.783	35.943001	KN204	6	2011-11-15T06:20:00	0.315192818641663	0.167139381170273	0.038987323641777	0.36259526014328	0.056815009564161	0.059270109981299	0	0.235133976194722	0	0	0	0.358725519469809	0.106879080088379	0	0	0.29926142424709	0	0
S0050	GA03	68	35.4186	-66.54269	23.074	36.351002	KN204	8	2011-11-16T13:59:00	0.150825217366219	0.120779156684875	0.140518039464951	0.070257350802422	0.20076721906662	0.316853046417236	0	0.052299799766362	0.009380553766454	0	0	0.143401496454641	0.043843017753502	0.052299799766374	0.050412733048284	0.641604177477779	0	0.006758421966603
S0052	GA03	135.8	35.4186	-66.54269	20.021	36.719002	KN204	8	2011-11-16T13:59:00	0.328673005104065	0.215622261166573	0.050320621579886	0.206188306212425	0.094597510993481	0.104598239064217	0	0.014190077925155	0.02554214026525	0	0	0.797622277213012	0.00567603117008	0.036894202605354	0.034056187020314	0.055341303908031	0	0.030677779892804
S0053	GA03	186.3	35.4186	-66.54269	18.68	36.615002	KN204	8	2011-11-16T13:59:00	0.380805552005768	0.17134815454483	0.050838507711887	0.235804215073585	0.079494170844555	0.081709407269955	0	0	0.01080899302568	0	0	0.944153536033966	0.023419484888993	0	0	0.021617986051361	0	0
S0054	GA03	237.3	35.4186	-66.54269	18.322	36.594002	KN204	8	2011-11-16T13:59:00	0.384403556585312	0.173308432102203	0.048055581748486	0.255469590425491	0.069537878036499	0.069224908947945	0	0.165146116735385	0	0	0	0.646115464138929	0.141553814344231	0	0.047184604781454	0	0	0
S0055	GA03	291.5	35.4186	-66.54269	18.133	36.59	KN204	8	2011-11-16T13:59:00	0.364016324281692	0.169682145118713	0.042144611477852	0.32304123044014	0.051600012928248	0.049515657126904	0	0	0	0	0	0	0.7965403882314	0.2034596117686	0	0	0	0
S0082	GA03	41.8	31.7501	-64.16949	24.134	36.546001	KN204	10	2011-11-19T19:31:00	0.066580548882485	0.006762968376279	0.259207040071487	0.014346779324114	0.229764580726624	0.423338085412979	0	0.039391839029616	0.000769371856047	0	0	0.126455194644025	0.016464557719407	0.008001467302889	0.014464190893685	0.787682906221119	0.000615497484835	0.006154974848378
S0083	GA03	75.7	31.7501	-64.16949	24.189	36.603001	KN204	10	2011-11-19T19:31:00	0.071094162762165	0.007100855000317	0.258180439472198	0.01564890705049	0.230560407042503	0.417415261268616	0	0.026226785265552	0.000870598681013	0	0	0.359348195608795	0.014473703071857	0.006964789448111	0.016214900433883	0.572092158261354	0	0.003808869229434
S0084	GA03	89.1	31.7501	-64.16949	22.116	36.664001	KN204	10	2011-11-19T19:31:00	0.191332697868347	0.013823356479406	0.195689931511879	0.053801260888577	0.218488365411758	0.326864391565323	0	0.02997406371914	0	0	0	0.363234447419273	0.003040847043971	0.041485841814174	0.116346301341118	0.445918498662324	0	0
S0085	GA03	109.7	31.7501	-64.16949	20.552	36.722	KN204	10	2011-11-19T19:31:00	0.371600925922394	0.080769248306751	0.067768007516861	0.162766367197037	0.138490870594978	0.178604528307915	0	0.020568016751694	0.028510122230071	0	0	0.28379487817042	0.00916396785967	0.085937654150627	0.080836683559487	0.491188677278032	0	0
S0086	GA03	182.4	31.7501	-64.16949	18.481	36.591	KN204	10	2011-11-19T19:31:00	0.38347527384758	0.194449946284294	0.036949254572392	0.247953817248344	0.067359507083893	0.069812178611755	0	0	0.018540124794881	0	0	0.615434506518426	0.009005203471807	0.043436863805146	0.035491096035903	0.261680618533352	0	0.016411586840486
S0087	GA03	233.3	31.7501	-64.16949	18.246	36.591	KN204	10	2011-11-19T19:31:00	0.379148989915848	0.177503347396851	0.034738976508379	0.322540938854218	0.045641079545021	0.040426682680845	0	0	0.463414634146264	0	0	0	0	0	0	0.536585365853736	0	0
S0088	GA03	281.4	31.7501	-64.16949	18.072	36.576	KN204	10	2011-11-19T19:31:00	0.315826058387756	0.147925764322281	0.031264793127775	0.464794874191284	0.02207232452929	0.01811626367271	0	0	0	0	0	0.955994205820634	0.02444766343296	0	0.009779065373203	0	0	0.009779065373203
S0089	GA03	414.2	31.7501	-64.16949	17.509	36.480999	KN204	10	2011-11-19T19:31:00	0.244531482458115	0.138671100139618	0.02457956969738	0.518810987472534	0.035599552094936	0.037807300686836	0	0	0	0	0	0	0.5	0	0	0.5	0	0
S0105	GA03	40.1	27.583	-49.6329	25.357	36.911999	KN204	14	2011-11-26T15:01:00	0.068699963390827	6.15839235251769E-05	0.29241481423378	0.009434971958399	0.224373340606689	0.405015289783478	0	0.010302154548375	0.006708379705916	0	0	0.432423159881438	0.038812768298522	0.05558371756332	0.003114604863464	0.437003020842665	0.001437509936979	0.014614684359322
